sample_accession	run_accession	scientific_name	fastq_ftp	fastq_aspera	sample_alias
SAMEA4671807	ERR2588557	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2588557/ERR2588557.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/007/ERR2588557/ERR2588557.fastq.gz	E-MTAB-6798:2634sTS.Mouse.Kidney.18.5.Male
SAMEA4671813	ERR2588563	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/003/ERR2588563/ERR2588563.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/003/ERR2588563/ERR2588563.fastq.gz	E-MTAB-6798:2319sTS.Mouse.Liver.18.5.Male
SAMEA4671819	ERR2588569	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/009/ERR2588569/ERR2588569.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/009/ERR2588569/ERR2588569.fastq.gz	E-MTAB-6798:1900sTS.Mouse.Brain.0dpb.Female
SAMEA4671820	ERR2588570	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2588570/ERR2588570.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2588570/ERR2588570.fastq.gz	E-MTAB-6798:1906sTS.Mouse.Brain.0dpb.Male
SAMEA4671823	ERR2588573	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/003/ERR2588573/ERR2588573.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/003/ERR2588573/ERR2588573.fastq.gz	E-MTAB-6798:1902sTS.Mouse.Heart.0dpb.Female
SAMEA4671829	ERR2588579	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/009/ERR2588579/ERR2588579.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/009/ERR2588579/ERR2588579.fastq.gz	E-MTAB-6798:3919sTS.Mouse.Cerebellum.0dpb.Male
SAMEA4671830	ERR2588580	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2588580/ERR2588580.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2588580/ERR2588580.fastq.gz	E-MTAB-6798:1744sTS.Mouse.Kidney.0dpb.Female
SAMEA4671831	ERR2588581	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2588581/ERR2588581.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/001/ERR2588581/ERR2588581.fastq.gz	E-MTAB-6798:1903sTS.Mouse.Kidney.0dpb.Female
SAMEA4671835	ERR2588585	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2588585/ERR2588585.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/005/ERR2588585/ERR2588585.fastq.gz	E-MTAB-6798:1904sTS.Mouse.Liver.0dpb.Female
SAMEA4671837	ERR2588587	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2588587/ERR2588587.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/007/ERR2588587/ERR2588587.fastq.gz	E-MTAB-6798:1916sTS.Mouse.Liver.0dpb.Male
SAMEA4671845	ERR2588595	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2588595/ERR2588595.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/005/ERR2588595/ERR2588595.fastq.gz	E-MTAB-6798:1888sTS.Mouse.Brain.2wpb.Female
SAMEA4671847	ERR2588597	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2588597/ERR2588597.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/007/ERR2588597/ERR2588597.fastq.gz	E-MTAB-6798:2645sTS.Mouse.Heart.2wpb.Male
SAMEA4671850	ERR2588600	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2588600/ERR2588600.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2588600/ERR2588600.fastq.gz	E-MTAB-6798:1877sTS.Mouse.Cerebellum.2wpb.Male
SAMEA4671854	ERR2588604	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2588604/ERR2588604.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2588604/ERR2588604.fastq.gz	E-MTAB-6798:2646sTS.Mouse.Kidney.2wpb.Male
SAMEA4671858	ERR2588608	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2588608/ERR2588608.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/008/ERR2588608/ERR2588608.fastq.gz	E-MTAB-6798:1882sTS.Mouse.Liver.2wpb.Male
SAMEA4671860	ERR2588610	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2588610/ERR2588610.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2588610/ERR2588610.fastq.gz	E-MTAB-6798:1890sTS.Mouse.Liver.2wpb.Female
SAMEA4671861	ERR2588611	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2588611/ERR2588611.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/001/ERR2588611/ERR2588611.fastq.gz	E-MTAB-6798:1887sTS.Mouse.Ovary.2wpb.Female
SAMEA4671865	ERR2588615	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2588615/ERR2588615.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/005/ERR2588615/ERR2588615.fastq.gz	E-MTAB-6798:1892sTS.Mouse.Brain.4wpb.Male
SAMEA4671866	ERR2588616	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2588616/ERR2588616.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2588616/ERR2588616.fastq.gz	E-MTAB-6798:1896sTS.Mouse.Brain.4wpb.Male
SAMEA4671870	ERR2588620	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2588620/ERR2588620.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2588620/ERR2588620.fastq.gz	E-MTAB-6798:2657sTS.Mouse.Heart.4wpb.Female
SAMEA4671871	ERR2588621	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2588621/ERR2588621.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/001/ERR2588621/ERR2588621.fastq.gz	E-MTAB-6798:2659sTS.Mouse.Heart.4wpb.Male
SAMEA4671877	ERR2588627	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2588627/ERR2588627.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/007/ERR2588627/ERR2588627.fastq.gz	E-MTAB-6798:2656sTS.Mouse.Kidney.4wpb.Female
SAMEA4671878	ERR2588628	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2588628/ERR2588628.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/008/ERR2588628/ERR2588628.fastq.gz	E-MTAB-6798:2658sTS.Mouse.Kidney.4wpb.Female
SAMEA4671880	ERR2588630	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2588630/ERR2588630.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2588630/ERR2588630.fastq.gz	E-MTAB-6798:2662sTS.Mouse.Kidney.4wpb.Male
SAMEA4671883	ERR2588633	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/003/ERR2588633/ERR2588633.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/003/ERR2588633/ERR2588633.fastq.gz	E-MTAB-6798:1938sTS.Mouse.Liver.4wpb.Female
SAMEA4671884	ERR2588634	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2588634/ERR2588634.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2588634/ERR2588634.fastq.gz	E-MTAB-6798:1942sTS.Mouse.Liver.4wpb.Female
